epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,1027.83,0.9216,1.35024,1.21339,0.71469,0.61697,0.69941,0.53292,0.90011,1.0817,1.15381,0.00044053,0.00044053,0.00044053
21,1079.94,0.92314,1.3417,1.21174,0.67251,0.64542,0.70338,0.54289,0.88264,1.04524,1.13099,0.000432768,0.000432768,0.000432768
22,1132.09,0.91055,1.3009,1.20177,0.71344,0.64204,0.72456,0.56363,0.86669,1.03838,1.12728,0.000425006,0.000425006,0.000425006
23,1184.39,0.9042,1.26989,1.19975,0.70034,0.66666,0.733,0.57502,0.8552,0.99833,1.12077,0.000417245,0.000417245,0.000417245
24,1236.68,0.90216,1.23611,1.18819,0.74544,0.67161,0.75236,0.58689,0.85999,0.99511,1.11166,0.000409483,0.000409483,0.000409483
25,1288.79,0.8828,1.22425,1.18113,0.71621,0.68712,0.74898,0.58601,0.83704,0.96061,1.10196,0.000401722,0.000401722,0.000401722
26,1340.86,0.88388,1.21548,1.18493,0.75426,0.65329,0.76598,0.60237,0.84232,0.91836,1.09253,0.00039396,0.00039396,0.00039396
27,1393.53,0.86463,1.17698,1.1725,0.72643,0.70901,0.77347,0.60521,0.83516,0.92238,1.09741,0.000386198,0.000386198,0.000386198
28,1445.86,0.87092,1.1632,1.17517,0.77665,0.69949,0.79146,0.62822,0.81165,0.84435,1.0784,0.000378437,0.000378437,0.000378437
29,1498.02,0.87046,1.13758,1.17019,0.75869,0.72213,0.7955,0.62772,0.81355,0.86674,1.08295,0.000370675,0.000370675,0.000370675
30,1549.98,0.85282,1.10869,1.15619,0.75284,0.72952,0.79277,0.63415,0.80184,0.83902,1.06367,0.000362914,0.000362914,0.000362914
31,1602.34,0.84869,1.10461,1.1492,0.76552,0.74013,0.80323,0.6386,0.79073,0.81943,1.06217,0.000355152,0.000355152,0.000355152
32,1654.77,0.84507,1.08359,1.15185,0.75652,0.72298,0.81152,0.64811,0.80148,0.80109,1.07247,0.00034739,0.00034739,0.00034739
33,1706.96,0.8341,1.06622,1.14782,0.78556,0.72178,0.8088,0.64569,0.79038,0.81759,1.05421,0.000339629,0.000339629,0.000339629
34,1759.25,0.82862,1.03813,1.13961,0.80928,0.73432,0.82578,0.66217,0.77339,0.75704,1.04387,0.000331867,0.000331867,0.000331867
35,1811.47,0.81808,1.02131,1.13486,0.77796,0.75828,0.83125,0.67672,0.7631,0.74421,1.03864,0.000324106,0.000324106,0.000324106
36,1863.75,0.81439,0.99628,1.135,0.786,0.77244,0.83185,0.67496,0.76056,0.73704,1.03652,0.000316344,0.000316344,0.000316344
37,1915.77,0.80768,0.98475,1.12632,0.82235,0.76714,0.84586,0.68424,0.75399,0.71672,1.0248,0.000308582,0.000308582,0.000308582
38,1967.72,0.80726,0.98389,1.13014,0.82669,0.77979,0.85507,0.69811,0.73419,0.68283,1.02021,0.000300821,0.000300821,0.000300821
39,2019.71,0.80469,0.94797,1.12698,0.83374,0.77222,0.85853,0.69827,0.73954,0.68812,1.0183,0.000293059,0.000293059,0.000293059
40,2071.94,0.79665,0.93504,1.11775,0.8368,0.78196,0.86374,0.70266,0.73726,0.68093,1.01956,0.000285298,0.000285298,0.000285298
41,2123.86,0.78615,0.91813,1.11194,0.81918,0.80289,0.87105,0.71578,0.71733,0.67072,1.00433,0.000277536,0.000277536,0.000277536
42,2175.72,0.78835,0.90625,1.11424,0.85046,0.77924,0.86947,0.7108,0.71891,0.65364,1.00402,0.000269774,0.000269774,0.000269774
43,2227.58,0.77368,0.88756,1.10529,0.82606,0.81138,0.87964,0.72599,0.7071,0.62397,0.99343,0.000262013,0.000262013,0.000262013
44,2279.81,0.77406,0.87409,1.10004,0.85951,0.79431,0.88663,0.73291,0.69977,0.6003,0.98419,0.000254251,0.000254251,0.000254251
45,2332.12,0.75824,0.84758,1.09581,0.87404,0.81921,0.89855,0.74522,0.68992,0.57599,0.97781,0.00024649,0.00024649,0.00024649
46,2383.25,0.75507,0.83071,1.09038,0.86254,0.81745,0.88982,0.73817,0.68751,0.58126,0.98028,0.000238728,0.000238728,0.000238728
47,2432.88,0.75435,0.82863,1.08979,0.88026,0.81672,0.89694,0.74749,0.68084,0.56831,0.9722,0.000230966,0.000230966,0.000230966
48,2482.95,0.75231,0.81535,1.08722,0.89811,0.81276,0.90445,0.75481,0.67336,0.55001,0.96871,0.000223205,0.000223205,0.000223205
49,2533.2,0.74655,0.81408,1.08303,0.90238,0.82495,0.91031,0.75802,0.67409,0.53285,0.97129,0.000215443,0.000215443,0.000215443
50,2583.17,0.73598,0.78447,1.07412,0.88705,0.84007,0.91195,0.76408,0.66579,0.51824,0.96532,0.000207682,0.000207682,0.000207682
51,2633.26,0.73516,0.77511,1.07702,0.91179,0.82799,0.91005,0.76565,0.65564,0.51418,0.95813,0.00019992,0.00019992,0.00019992
52,2683.44,0.72478,0.76266,1.06781,0.8776,0.85589,0.91434,0.77032,0.65795,0.52251,0.95756,0.000192158,0.000192158,0.000192158
53,2733.36,0.72407,0.75876,1.06916,0.90096,0.84876,0.92161,0.77614,0.65354,0.49668,0.95838,0.000184397,0.000184397,0.000184397
54,2783.74,0.71359,0.7433,1.06262,0.90408,0.8434,0.92262,0.77877,0.64953,0.49837,0.95001,0.000176635,0.000176635,0.000176635
55,2835.38,0.71379,0.7486,1.06237,0.91633,0.85881,0.93064,0.7877,0.64395,0.47614,0.95211,0.000168874,0.000168874,0.000168874
56,2886.45,0.70937,0.71979,1.05463,0.90854,0.8472,0.92721,0.78793,0.6279,0.47618,0.93845,0.000161112,0.000161112,0.000161112
57,2937.64,0.70665,0.70888,1.05696,0.92767,0.85235,0.92908,0.78882,0.6275,0.45328,0.94005,0.00015335,0.00015335,0.00015335
58,2988.66,0.71199,0.71031,1.06357,0.91393,0.86991,0.93615,0.79738,0.6201,0.45138,0.93546,0.000145589,0.000145589,0.000145589
59,3040.83,0.70189,0.68865,1.05215,0.9371,0.85616,0.93632,0.80107,0.61315,0.43545,0.92931,0.000137827,0.000137827,0.000137827
60,3091.18,0.6971,0.68506,1.05359,0.91404,0.88404,0.93759,0.80061,0.61578,0.43689,0.93074,0.000130066,0.000130066,0.000130066
61,3141.27,0.68441,0.66833,1.04517,0.93029,0.87175,0.93806,0.80648,0.60927,0.43833,0.92852,0.000122304,0.000122304,0.000122304
62,3191.59,0.69203,0.65683,1.04831,0.91597,0.89374,0.94427,0.80926,0.6016,0.42245,0.92016,0.000114542,0.000114542,0.000114542
63,3241.77,0.68917,0.65262,1.04441,0.93562,0.87805,0.94351,0.81119,0.6007,0.41659,0.91938,0.000106781,0.000106781,0.000106781
64,3292,0.66923,0.63808,1.035,0.93756,0.8837,0.94386,0.81376,0.59748,0.40825,0.91771,9.90192e-05,9.90192e-05,9.90192e-05
65,3342.34,0.67017,0.63196,1.03596,0.92019,0.89766,0.94452,0.81535,0.59095,0.40348,0.91533,9.12576e-05,9.12576e-05,9.12576e-05
66,3399.47,0.64975,0.53999,0.9962,0.92807,0.88909,0.94337,0.8113,0.59656,0.40644,0.9157,8.3496e-05,8.3496e-05,8.3496e-05
67,3449.74,0.63167,0.50446,0.99335,0.95013,0.89061,0.94719,0.81712,0.59564,0.39501,0.91537,7.57344e-05,7.57344e-05,7.57344e-05
68,3500.02,0.62002,0.48501,0.99037,0.94917,0.88812,0.94959,0.81971,0.58775,0.38442,0.90995,6.79728e-05,6.79728e-05,6.79728e-05
69,3550.31,0.61927,0.46539,0.98524,0.9547,0.89816,0.95019,0.82372,0.581,0.37915,0.90691,6.02112e-05,6.02112e-05,6.02112e-05
70,3600.69,0.61251,0.47331,0.98164,0.95426,0.89518,0.95171,0.82891,0.57264,0.36949,0.9005,5.24496e-05,5.24496e-05,5.24496e-05
71,3650.92,0.60364,0.44849,0.97192,0.95807,0.89374,0.95272,0.82939,0.57094,0.36645,0.89655,4.4688e-05,4.4688e-05,4.4688e-05
72,3701.26,0.60281,0.44086,0.96961,0.95732,0.89837,0.95374,0.83235,0.56604,0.36466,0.89777,3.69264e-05,3.69264e-05,3.69264e-05
73,3751.67,0.59667,0.43607,0.96933,0.95998,0.89715,0.9551,0.83345,0.56234,0.35842,0.89405,2.91648e-05,2.91648e-05,2.91648e-05
74,3802.1,0.59,0.43816,0.96473,0.93387,0.91709,0.95532,0.83513,0.55915,0.35808,0.89359,2.14032e-05,2.14032e-05,2.14032e-05
75,3852.52,0.59204,0.42248,0.96518,0.94512,0.9054,0.95497,0.83765,0.55624,0.35224,0.89132,1.36416e-05,1.36416e-05,1.36416e-05
